Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-06-16,67564.484375,67658.58532816853,66717.57579648329,67564.484375,15373696
2023-06-19,66999.8828125,67470.38760753161,66717.57993548104,67093.98377150632,11100887
2023-06-20,67188.078125,67188.078125,66247.06862745098,66529.37147671569,11557883
2023-06-21,66341.1875,66999.89432624113,66247.08652482269,66529.38945035462,10626603
2023-06-22,67094.0,67282.20196353436,65964.78821879382,66058.88920056101,11411007
2023-06-23,67376.2890625,67940.89483676676,67376.2890625,67752.69291201117,12329484
2023-06-26,68129.0859375,68223.18688492749,67282.17741065263,67470.3793055076,10541901
2023-06-27,68317.3046875,68317.3046875,67752.69886363637,68223.20371685606,9442997
2023-06-28,68411.390625,68411.390625,67752.68397524071,68317.28967503438,8783093
2023-06-29,68469.0859375,69414.79154437155,68469.0859375,69131.07986231009,12229967
2023-06-30,68279.9453125,68752.79811937327,67807.09250562673,68563.65699662396,11694765
2023-07-03,69036.5078125,69225.64892979452,68658.22557791095,68752.79613655822,10722181
2023-07-04,69036.5078125,69603.93116438355,68941.93725385274,69414.79004708905,10214350
2023-07-05,68090.796875,69320.21404079862,67996.22632378472,69036.50238715278,12310610
2023-07-06,67712.5234375,68469.08794518157,67617.95287403981,67996.23512788059,14777667
2023-07-07,66104.8359375,67523.39464860514,66010.26535675966,67239.68290638411,17308877
2023-07-10,65726.5390625,66577.67410071942,65442.82738309352,66199.39186151078,11713926
2023-07-11,67617.953125,67617.953125,66293.96523164336,66388.53579545455,12177392
2023-07-12,67996.234375,68090.80493741308,67239.66987569541,67334.24043810848,10375581
2023-07-13,67996.234375,68658.22831189151,67996.234375,68469.08718706536,14417279
2023-07-14,69414.7734375,69414.7734375,68469.06807731607,68563.63861333446,15882519
2023-07-17,69320.21875,69509.35986527968,68847.36596180082,69225.64819236017,10060049
2023-07-18,68090.796875,69509.35514322917,68090.796875,69225.64348958334,11697900
2023-07-19,67807.0859375,68847.36201185494,67428.80372864364,68752.79145964087,10896412
2023-07-20,67145.109375,67617.96225792253,66955.96822183099,67239.6799515845,9732730
2023-07-21,66483.109375,66577.679943101,65631.97426209104,66577.679943101,16528926
2023-07-24,66577.6796875,67050.53252618964,66104.82684881036,66293.96798428622,13418597
2023-07-25,66199.3828125,66672.235546875,66010.24171875,66199.3828125,14314945
2023-07-26,66010.25,66766.81446991404,64402.55050143267,66010.25,30016221
2023-07-27,67807.0859375,67807.0859375,65537.39268436193,66104.81599764644,24261179
2023-07-28,66766.8046875,68469.0744953966,66293.95196308428,67901.65122609773,19420683
2023-07-31,66010.25,67145.09670487106,66010.25,67050.5261461318,13035420
2023-08-01,67239.6796875,67334.25026371308,66199.40334915611,66293.9739253692,12299254
2023-08-02,66104.8359375,67145.11232564377,66010.26535675966,66861.40058342274,13835020
2023-08-03,65064.5546875,66388.54271893168,64780.84296647892,66104.83099791061,20087090
2023-08-04,64591.6875,65348.25192166911,64497.11694729136,65064.54026354319,12360193
2023-08-07,64780.84375,65442.837773722626,63929.70857664233,64024.27915145986,10968505
2023-08-08,63929.70703125,65348.26561922153,63740.565886187134,65253.69504669009,14664709
2023-08-09,65159.1171875,65821.11112119013,64213.41156794267,64307.9821298984,17259673
2023-08-10,64307.984375,64780.83720128677,64118.843244485295,64591.696070772065,10227311
2023-08-11,63835.125,65064.542222222226,63835.125,64686.26,9781038
2023-08-14,63646.0,64213.42347696879,63267.7176820208,63835.141158989594,9352343
2023-08-16,63362.265625,63456.83617070896,62700.271805037315,63078.553987873136,13174578
2023-08-17,63078.5546875,63173.125234257874,62416.560860194906,62700.27250046852,10778652
2023-08-18,62700.27734375,63078.559560001886,62227.42457343514,62416.565681561086,11745006
2023-08-21,62984.0,63456.85285285285,62700.288288288284,62984.0,9720067
2023-08-22,62984.0,64024.27627627627,62700.288288288284,63551.42342342342,10500242
2023-08-23,63456.85546875,63456.85546875,62794.86144746647,63078.5731708737,9549352
2023-08-24,64497.125,64969.977822580644,64213.41330645161,64591.69556451613,15044463
2023-08-25,63456.85546875,63740.56719215723,63267.71431981185,63456.85546875,7032462
2023-08-28,63173.13671875,63362.277846650446,62889.42502689933,63173.13671875,5824628
2023-08-29,63173.13671875,63551.4189745509,62983.995590849554,63267.70728270023,9114352
2023-08-30,63456.85546875,64024.27891556446,63456.85546875,63645.99661768815,9181223
2023-08-31,63267.703125,63551.41479820628,62794.85033632287,63456.844240470855,15964630
2023-09-01,67145.109375,67145.109375,63078.574581866196,63173.1451584507,29738235
2023-09-04,67334.2265625,68941.92579222261,66861.3738478757,68941.92579222261,26286495
2023-09-05,66861.390625,67617.95515823904,66388.5377917256,67050.53175830976,12330239
2023-09-06,66199.3828125,66955.9471875,65915.671171875,66861.37664062499,11414620
2023-09-07,66577.6796875,66766.82082297585,65821.11514559659,66199.3974165483,13741241
2023-09-08,66483.109375,66483.109375,65821.11539829303,66388.538806899,10688118
2023-09-11,66955.9453125,66955.9453125,66199.38095868644,66577.66313559322,11785462
2023-09-12,66672.25,67145.10283687944,66577.67943262412,66955.96170212766,11688599
2023-09-13,67050.5234375,67712.5173219323,66483.1001079866,67239.6645473378,15955797
2023-09-14,67807.0859375,67901.65648971408,66955.95096757323,67334.23317642957,21041407
2023-09-15,68090.796875,68374.50852864583,67523.37356770833,67807.08522135417,17823512
2023-09-18,66388.5390625,67807.0975894765,66388.5390625,67428.8153156161,16040727
2023-09-19,66010.25,66955.95558739256,65821.1088825215,66577.67335243554,11820188
2023-09-20,65821.109375,66483.10329112787,65726.53881555315,66199.39161278735,10873015
2023-09-21,65159.1171875,66010.2522451016,65064.546625544266,65442.8288733672,10796336
2023-09-22,65064.5546875,65159.12526117369,64591.701819131544,64591.701819131544,9897840
2023-09-25,65631.96875,65915.6804304755,64780.83370857348,64780.83370857348,13582516
2023-09-26,65214.63671875,66545.54767219388,65024.506582543734,66545.54767219388,13143470
2023-09-27,65024.50390625,65689.95935558296,64834.37377786915,65214.63403463085,14886491
2023-10-04,64168.91796875,64359.04809606482,63408.39745949074,64073.85290509259,23361149
2023-10-05,63408.390625,64073.84599887556,63408.390625,63978.780945464765,16108313
2023-10-06,62742.93359375,63978.77925544508,62742.93359375,63788.649153645834,14386527
2023-10-10,63123.203125,64263.98390436747,62933.07299510542,62933.07299510542,19889202
2023-10-11,64834.37109375,65975.15181680719,64549.17591298571,65214.63133476907,25209349
2023-10-12,65499.84765625,66260.36838375362,64834.392019684325,65214.652383436136,19311380
